"display_name","total_svv","veteran_svv","rookie_svv","nations_svv"
"Miguel","1020","1000","0","20"
"UnAndaluz","510","500","0","10"
"Perricola","360","0","350","10"
"tokeneta","310","300","0","10"
"KieronLysons","200","0","200","0"
"CaldoVerde1906","176","100","0","76"
"Serrao10","176","100","0","76"
"LucasMB","120","100","0","20"
"Magnicida","120","100","0","20"
"SOTERA","120","100","0","20"
"xayagaming","120","100","0","20"
"Cirake23","110","0","100","10"
"JesseMorgo","106","0","0","106"
"chris1000","100","100","0","0"
"PaiNatal","86","0","0","86"
"SoccerversePortugal","76","0","0","76"
"Gira","60","0","50","10"
"Tpotsza","60","0","50","10"
"Janca","55","0","0","55"
"Phesi","55","0","0","55"
"Schumi","55","0","0","55"
"Aguss11","50","0","50","0"
"DaveTech","50","0","50","0"
"Lumipee","50","0","50","0"
"riipz","50","0","50","0"
"TUSSE","50","0","50","0"
"GreenFuryx","45","0","0","45"
"Acky","30","0","0","30"
"Felpa","20","0","0","20"
"Francris23","20","0","0","20"
"KlvnMourinho","20","0","0","20"
"LOS GUANCHES FC","20","0","0","20"
"MapiGroup","20","0","0","20"
"MarioPN87","20","0","0","20"
"mave004","20","0","0","20"
"NachoHeras","20","0","0","20"
"Redroseone1976","20","0","0","20"
"Roland1nh0","20","0","0","20"
"Vittorio","20","0","0","20"
"2b2t","10","0","0","10"
"Adg1986","10","0","0","10"
"ARKA","10","0","0","10"
"Badinho","10","0","0","10"
"Bolsilludo","10","0","0","10"
"BonzaiS","10","0","0","10"
"carlosaspin","10","0","0","10"
"cfr1907migrated","10","0","0","10"
"ch4k4L","10","0","0","10"
"chr4xy","10","0","0","10"
"CiaoTeo","10","0","0","10"
"CipiTutorial","10","0","0","10"
"Claudius","10","0","0","10"
"CloudSV","10","0","0","10"
"Creepghost","10","0","0","10"
"DDoctor","10","0","0","10"
"DFGDaan","10","0","0","10"
"Eltukko","10","0","0","10"
"etorrejon79","10","0","0","10"
"FrozenOrbit","10","0","0","10"
"gabrielfrankk","10","0","0","10"
"Gimbap","10","0","0","10"
"HAUPT","10","0","0","10"
"JuakoCano","10","0","0","10"
"Lamamka","10","0","0","10"
"Leedsarewe","10","0","0","10"
"Libertaerx","10","0","0","10"
"looking4food","10","0","0","10"
"looplab","10","0","0","10"
"Lopi","10","0","0","10"
"Manolito10","10","0","0","10"
"micapitanrsg","10","0","0","10"
"mijels","10","0","0","10"
"Mistercortes7","10","0","0","10"
"Pepe","10","0","0","10"
"Robkinson","10","0","0","10"
"SAGBz","10","0","0","10"
"Snaus","10","0","0","10"
"Stife","10","0","0","10"
"SupersampeiFC","10","0","0","10"
"Tatelopez","10","0","0","10"
"Theramoe","10","0","0","10"
"WC CRYPTO","10","0","0","10"
"Wolfspyx","10","0","0","10"
"xlonefoxx","10","0","0","10"
"Yabenavi","10","0","0","10"
